survey_date,ano_ref,dbgg_focus_med_pct_pib,numeroRespondentes,dbgg_sgs_pct_pib,dbgg_sgs_yoy_pp,dbgg_sgs_data_obs,dbgg_divulgacao_aprox
2019-01-22,2022,82.05,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-01-23,2022,82.05,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-01-24,2022,82.05,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-01-25,2022,82.05,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-01-28,2022,82.03,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-01-29,2022,82.03,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-01-30,2022,82.03,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-01-31,2022,82.03,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-01,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-04,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-05,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-06,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-07,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-08,2022,81.9,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-11,2022,81.8,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-12,2022,81.9,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-13,2022,81.9,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-14,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-15,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-18,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-19,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-20,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-21,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-22,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-25,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-26,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-27,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-02-28,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-01,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-06,2022,82.05,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-07,2022,82.05,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-08,2022,81.93,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-11,2022,82.05,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-12,2022,82.05,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-13,2022,82.05,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-14,2022,82.05,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-15,2022,82.03,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-18,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-19,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-20,2022,82.03,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-21,2022,82.03,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-22,2022,82.03,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-25,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-26,2022,82.05,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-27,2022,82.05,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-28,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-03-29,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-01,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-02,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-03,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-04,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-05,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-08,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-09,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-10,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-11,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-12,2022,82.13,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-15,2022,82.2,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-16,2022,82.2,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-17,2022,82.2,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-18,2022,82.2,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-22,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-23,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-24,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-25,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-26,2022,81.9,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-29,2022,81.8,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-04-30,2022,81.8,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-02,2022,81.8,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-03,2022,81.5,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-06,2022,81.9,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-07,2022,81.8,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-08,2022,82.35,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-09,2022,82.35,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-10,2022,82.35,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-13,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-14,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-15,2022,82.0,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-16,2022,82.7,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-17,2022,82.35,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-20,2022,82.7,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-21,2022,82.7,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-22,2022,82.7,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-23,2022,82.7,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-24,2022,82.7,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-27,2022,82.7,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-28,2022,82.7,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-29,2022,82.7,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-30,2022,82.7,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-05-31,2022,82.7,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-03,2022,83.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-04,2022,83.5,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-05,2022,83.5,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-06,2022,83.5,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-07,2022,82.5,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-10,2022,82.1,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-11,2022,82.1,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-12,2022,82.1,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-13,2022,82.1,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-14,2022,82.1,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-17,2022,83.1,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-18,2022,83.1,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-19,2022,83.1,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-21,2022,82.6,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-24,2022,82.6,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-25,2022,82.6,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-26,2022,82.6,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-27,2022,82.6,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-06-28,2022,82.2,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-01,2022,82.2,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-02,2022,82.2,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-03,2022,82.2,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-04,2022,82.2,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-05,2022,82.07,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-08,2022,82.04,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-09,2022,82.04,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-10,2022,82.04,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-11,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-12,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-15,2022,82.07,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-16,2022,82.04,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-17,2022,82.04,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-18,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-19,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-22,2022,80.9,15,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-23,2022,81.45,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-24,2022,81.45,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-25,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-26,2022,82.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-29,2022,81.95,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-30,2022,81.95,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-07-31,2022,81.95,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-01,2022,81.95,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-02,2022,81.95,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-05,2022,83.0,15,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-06,2022,83.0,15,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-07,2022,83.0,15,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-08,2022,83.0,15,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-09,2022,81.3,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-12,2022,81.3,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-13,2022,81.3,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-14,2022,81.3,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-15,2022,81.3,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-16,2022,81.7,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-19,2022,81.7,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-20,2022,81.7,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-21,2022,81.7,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-22,2022,81.7,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-23,2022,80.9,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-26,2022,80.9,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-27,2022,80.9,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-28,2022,80.9,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-29,2022,80.9,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-08-30,2022,81.85,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-02,2022,81.85,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-03,2022,81.85,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-04,2022,81.85,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-05,2022,81.85,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-06,2022,81.85,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-09,2022,80.9,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-10,2022,80.9,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-11,2022,80.9,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-12,2022,81.85,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-13,2022,80.9,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-16,2022,80.65,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-17,2022,80.7,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-18,2022,80.7,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-19,2022,80.65,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-20,2022,80.65,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-23,2022,80.65,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-24,2022,80.65,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-25,2022,80.65,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-26,2022,80.65,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-27,2022,80.65,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-09-30,2022,80.65,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-01,2022,80.65,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-02,2022,80.65,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-03,2022,80.7,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-04,2022,80.7,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-07,2022,80.7,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-08,2022,80.7,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-09,2022,80.7,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-10,2022,80.7,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-11,2022,80.65,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-14,2022,80.9,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-15,2022,80.9,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-16,2022,80.9,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-17,2022,80.9,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-18,2022,80.8,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-21,2022,80.9,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-22,2022,80.8,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-23,2022,80.8,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-24,2022,80.9,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-25,2022,80.8,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-28,2022,80.8,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-29,2022,80.8,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-30,2022,80.8,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-10-31,2022,80.7,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-01,2022,80.7,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-04,2022,80.6,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-05,2022,80.6,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-06,2022,80.6,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-07,2022,80.6,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-08,2022,80.6,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-11,2022,80.4,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-12,2022,80.4,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-13,2022,80.6,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-14,2022,80.6,21,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-18,2022,80.65,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-19,2022,80.65,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-20,2022,80.65,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-21,2022,80.65,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-22,2022,80.4,22,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-25,2022,80.4,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-26,2022,80.4,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-27,2022,80.4,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-28,2022,80.4,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-11-29,2022,80.4,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-02,2022,80.17,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-03,2022,80.17,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-04,2022,80.17,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-05,2022,80.17,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-06,2022,80.17,20,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-09,2022,80.17,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-10,2022,80.17,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-11,2022,80.17,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-12,2022,80.17,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-13,2022,80.17,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-16,2022,80.17,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-17,2022,80.17,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-18,2022,80.17,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-19,2022,80.14,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-20,2022,80.14,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-23,2022,80.11,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-24,2022,80.11,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-26,2022,80.11,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-27,2022,80.11,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-30,2022,80.11,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2019-12-31,2022,80.11,19,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-02,2022,80.36,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-03,2022,80.36,18,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-06,2022,80.65,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-07,2022,80.11,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-08,2022,80.11,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-09,2022,80.06,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-10,2022,80.06,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-13,2022,79.0,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-14,2022,79.0,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-15,2022,79.0,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-16,2022,80.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-17,2022,80.0,17,71.68,-5.6299999999999955,2022-12-01,2023-05-01
2020-01-20,2022,80.06,16,71.68,-5.6299999999999955,2022-12-01,2023-05-01
